Category,Description,Nutrient_Bank_Number,Alpha_Carotene,Beta_Carotene,Beta_Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein_and_Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar_Total,Thiamin,Water,Fat_Monosaturated_Fat,Fat_Polysaturated_Fat,Fat_Saturated_Fat,Fat_Total_Lipid,Major_Minerals_Calcium,Major_Minerals_Copper,Major_Minerals_Iron,Major_Minerals_Magnesium,Major_Minerals_Phosphorus,Major_Minerals_Potassium,Major_Minerals_Sodium,Major_Minerals_Zinc,Vitamins_Vitamin_A__RAE,Vitamins_Vitamin_B12,Vitamins_Vitamin_B6,Vitamins_Vitamin_C,Vitamins_Vitamin_E,Vitamins_Vitamin_K
Cookie,"Cookie, meringue",53228000,0,0,0,80.44,0,0.5,0,0,0,0.052,5.75,0,0.236,11,80.35,0.002,12.54,0,0,0,0.34,5,0.019,0.1,6,8,153,243,0.03,0,0.04,0.003,0,0,0
Sugar substitute,"Sugar substitute, sucralose, powder",91107000,0,0,0,91.17,0,0,0,0,0,0,0,0,0,0,80.33,0,8.83,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Persimmon,"Persimmon, dried",62120000,0,336,1922,96.07,0,20.2,9.6,1108,211,0.239,1.54,0,0.057,1.9,80.06,0.056,0.86,0.098,0.114,0.053,0.66,22,0.303,0.42,24,45,429,3,0.3,108,0,0.239,4,1.94,6.9
Fudge,"Fudge, vanilla",91713070,0,10,0,82.15,15,5.3,0,0,0,0.038,1.05,45,0.074,1.7,79.77,0.014,10.85,1.399,0.227,3.382,5.45,38,0.004,0.02,3,30,49,47,0.15,46,0.08,0.009,0,0.14,0.5
Tamarind candy,Tamarind candy,91708070,0,9,0,91.96,0,4.2,2.5,0,0,0.95,0,0,0.085,1,78.57,0.212,2.52,0,0,0,0,0,0.048,0,45,56,309,1643,0.08,1,0,0.032,0,0.05,1.4
Corn syrup,Corn syrup,91301030,0,0,0,76.79,0,0,0,0,0,0,0,0,0,0.7,76.77,0.059,22.81,0,0,0,0.2,13,0,0,1,0,1,62,0.44,0,0,0,0,0,0
Fudge,"Fudge, brown sugar, penuche",91713100,0,20,1,77.74,1,10,1.1,2,0,0.245,2.1,19,0.067,2.2,75.85,0.085,8.46,5.623,3.064,1.11,10.24,106,0.177,0.84,24,63,193,319,0.66,21,0.08,0.063,0.1,0.38,2.7
Pralines,Pralines,91735000,0,20,1,77.74,1,10,1.1,2,0,0.245,2.1,19,0.067,2.2,75.85,0.085,8.46,5.623,3.064,1.11,10.24,106,0.177,0.84,24,63,193,319,0.66,21,0.08,0.063,0.1,0.38,2.7
Skittles,Skittles,91745100,0,0,0,90.78,0,0,0,1,0,0.007,0.19,0,0.023,1,75.84,0,3.83,0,0,4.115,4.37,0,0.036,0,1,1,12,15,0.02,0,0,0.003,66.8,0.17,1.1
Molasses,Molasses,91303000,0,0,0,74.73,0,13.3,0,0,0,0.93,0,0,0.002,17.8,74.72,0.041,21.87,0.032,0.05,0.018,0.1,205,0.487,4.72,242,31,1464,37,0.29,0,0,0.67,0,0,0
Whey,"Whey, sweet, dry",11825000,0,2,0,74.46,6,225,0,0,0,1.258,12.93,8,2.208,27.2,74.46,0.519,3.19,0.297,0.034,0.684,1.07,796,0.07,0.88,176,932,2080,1079,1.97,8,2.37,0.584,1.5,0.02,0.1
Coffee creamer,"Coffee creamer, powder, fat free",12210430,0,9,0,73.4,0,2.3,0,0,0,0,1.9,0,0,0.8,73.4,0,6.2,11.5,0.198,3.8,15.7,1,0.01,0.03,0,136,902,229,0.02,1,0,0,0,0.26,3.9
Coffee creamer,"Coffee creamer,powder, fat free, flavored",12210440,0,9,0,73.4,0,2.3,0,0,0,0,1.9,0,0,0.8,73.4,0,6.2,11.5,0.198,3.8,15.7,1,0.01,0.03,0,136,902,229,0.02,1,0,0,0,0.26,3.9
Coconut candy,"Coconut candy, Puerto Rican style",91706400,0,0,0,74.38,0,4.9,1.3,0,0,0.435,1.31,0,0.014,4,73.27,0.015,9.99,0.58,0.149,12.092,13.86,10,0.157,0.97,21,57,152,9,0.39,0,0,0.019,1.6,0.09,0.1
Fudge,"Fudge, chocolate",91713030,0,10,0,76.7,14,10,1.7,4,0,0.176,2.39,43,0.085,2.5,73.12,0.026,9.81,2.943,0.373,6.448,10.41,49,0.329,1.77,36,71,134,45,1.11,44,0.09,0.012,0,0.18,1.4
