Category,Description,Nutrient_Bank_Number,Alpha_Carotene,Beta_Carotene,Beta_Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein_and_Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar_Total,Thiamin,Water,Fat_Monosaturated_Fat,Fat_Polysaturated_Fat,Fat_Saturated_Fat,Fat_Total_Lipid,Major_Minerals_Calcium,Major_Minerals_Copper,Major_Minerals_Iron,Major_Minerals_Magnesium,Major_Minerals_Phosphorus,Major_Minerals_Potassium,Major_Minerals_Sodium,Major_Minerals_Zinc,Vitamins_Vitamin_A__RAE,Vitamins_Vitamin_B12,Vitamins_Vitamin_B6,Vitamins_Vitamin_C,Vitamins_Vitamin_E,Vitamins_Vitamin_K
Sweet potato tots,"Sweet potato tots, NFS",73420000,0,5100,0,34.87,0,25.5,5.6,8,0,0.683,2.12,0,0.09,0.4,12.64,0.086,45.67,6.503,5.632,2.072,15.6,51,0.173,0.77,25,58,401,295,0.37,425,0,0.173,7,2.26,12.6
Sweet potato tots,"Sweet potato tots, from frozen, fried",73420010,0,5100,0,34.87,0,25.5,5.6,8,0,0.683,2.12,0,0.09,0.4,12.64,0.086,45.67,6.503,5.632,2.072,15.6,51,0.173,0.77,25,58,401,295,0.37,425,0,0.173,7,2.26,12.6
Sweet potato tots,"Sweet potato tots, from frozen, NS as to fried or baked",73420030,0,5100,0,34.87,0,25.5,5.6,8,0,0.683,2.12,0,0.09,0.4,12.64,0.086,45.67,6.503,5.632,2.072,15.6,51,0.173,0.77,25,58,401,295,0.37,425,0,0.173,7,2.26,12.6
Sweet potato tots,"Sweet potato tots, fast food / restaurant",73420100,0,5100,0,34.87,0,25.5,5.6,8,0,0.683,2.12,0,0.09,0.4,12.64,0.086,45.67,5.763,4.989,3.376,15.6,51,0.173,0.76,25,58,401,295,0.37,425,0,0.173,7,2.18,15.2
Persimmon,"Persimmon, raw",63139010,0,253,1447,18.59,0,7.6,3.6,834,159,0.1,0.58,0,0.02,0.6,12.53,0.03,80.32,0.037,0.043,0.02,0.19,8,0.113,0.15,9,17,161,1,0.11,81,0,0.1,7.5,0.73,2.6
Cereal (Kashi Autumn Wheat),Cereal (Kashi Autumn Wheat),57301505,0,0,0,79,0,29.7,11.2,0,0,5.2,12,0,0.109,67.3,12.4,0.364,5,0.2,0.9,0.3,1.4,29,0.413,3.1,81,225,342,4,1.5,0,0,0.285,0,0.96,1.8
Sweet potato fries,"Sweet potato fries, NFS",73410200,0,4980,0,34.05,0,24.9,5.5,8,0,0.667,2.07,0,0.088,0.4,12.34,0.084,44.47,7.551,6.681,2.416,18.1,50,0.169,0.75,25,56,391,140,0.36,415,0,0.169,6.8,2.55,15.7
Sweet potato fries,"Sweet potato fries, NS as to fresh or frozen",73410300,0,4980,0,34.05,0,24.9,5.5,8,0,0.667,2.07,0,0.088,0.4,12.34,0.084,44.47,7.551,6.681,2.416,18.1,50,0.169,0.75,25,56,391,140,0.36,415,0,0.169,6.8,2.55,15.7
Sweet potato fries,"Sweet potato fries, frozen, fried",73410310,0,4980,0,34.05,0,24.9,5.5,8,0,0.667,2.07,0,0.088,0.4,12.34,0.084,44.47,7.551,6.681,2.416,18.1,50,0.169,0.75,25,56,391,140,0.36,415,0,0.169,6.8,2.55,15.7
Energy drink (Rockstar),Energy drink (Rockstar),95310700,0,0,0,12.7,0,0.3,0,0,0,9.82,0.34,0,1.6,0,12.26,0,87.08,0,0,0,0.22,1,0,0.05,0,0,6,16,0.05,0,3.77,1.353,0,0,0
Cereal (Nature's Path Organic Flax Plus),Cereal (Nature's Path Organic Flax Plus),57321900,0,0,0,75.27,0,5.7,16.6,210,0,0.22,11.91,0,0.01,1.8,12.25,0.13,3.4,0.9,3.01,0.62,5.46,55,0.09,5.89,28,460,501,458,0.31,0,0,0.03,0,1.27,0.3
Cereal,"Cereal, crispy rice",57151000,0,0,0,86.22,0,6,0.7,0,0,28.967,6.69,1136,1.288,18,12.12,2.05,3.62,0.243,0.293,0.36,1.26,5,0.149,32.73,23,98,106,545,1.3,1136,5.45,1.937,64.5,0.06,0
Cereal,"Cereal, rice flakes",57337000,0,0,0,86.22,0,6,0.7,0,0,28.967,6.69,1136,1.288,18,12.12,2.05,3.62,0.243,0.293,0.36,1.26,5,0.149,32.73,23,98,106,545,1.3,1136,5.45,1.937,64.5,0.06,0
Carrots,"Carrots, glazed, cooked",73102241,3053,7280,0,16.68,6,8.9,2.6,225,1,0.873,0.9,20,0.052,0.2,12.12,0.055,78.5,0.639,0.185,1.566,2.65,38,0.045,0.33,12,33,307,201,0.23,754,0,0.118,4.6,0.68,12.4
Carrots,"Carrots, raw, salad",73101110,2157,5141,1,17.19,9,14.3,2.4,162,1,0.72,1.25,3,0.058,0.6,12.04,0.059,64.65,3.494,9.312,2.454,15.67,32,0.07,0.48,13,40,308,178,0.23,521,0.02,0.114,6.1,1.11,42.4
Apple yogurt dessert,"Apple yogurt dessert, baby food, strained",67404070,0,7,5,19.5,6,5.4,0.5,7,0,0,0.8,2,0.05,0.7,12.02,1.56,77.9,0.438,0.044,1.034,1.6,6,0.05,0,15,31,70,20,0.28,3,0.5,0.02,35.1,0.02,0.2
Cocktail sauce,Cocktail sauce,74406500,7,212,0,28.22,0,11,1.8,2,6753,0.82,1.36,0,0.047,2.2,11.83,0.021,65.67,0,0,0,1.05,26,0.111,0.83,17,30,309,1262,0.38,18,0,0.08,11.6,1.08,4.4
Oatmeal cereal,"Oatmeal cereal, baby food, dry, instant",57804000,0,0,0,73.48,0,27,7.3,185,0,21.348,10.99,0,1.586,23.4,11.67,1.431,4.56,1.564,1.748,0.841,6.36,1160,0.419,64.1,110,506,549,21,12.68,0,4.6,0.853,0,12.23,1.4
Sweet potato fries,"Sweet potato fries, fast food / restaurant",73410400,0,4627,0,31.63,0,23.1,5.1,7,0,0.62,1.92,0,0.082,0.4,11.47,0.078,40.94,8.269,7.636,6.257,23.93,46,0.157,0.69,23,52,364,267,0.34,386,0,0.157,6.3,3,29
Tomato sauce,"Tomato sauce, for use with vegetables",89901050,0,104,1,12.08,0,4,0.6,10,5558,0.396,0.48,0,0.028,0.3,11.4,0.01,78.48,2.531,2.52,0.837,6.15,8,0.05,0.4,6,11,119,965,0.09,9,0,0.039,2.8,1.28,8.2
Passion fruit,"Passion fruit, raw",63134010,0,743,41,23.38,0,7.6,10.4,0,0,1.5,2.2,0,0.13,0.6,11.2,0,72.93,0.086,0.411,0.059,0.7,12,0.086,1.6,29,68,348,28,0.1,64,0,0.1,30,0.02,0.7
Orange,"Orange, canned, NFS",61122300,130,188,490,11.82,0,8.7,0.7,159,0,0.434,0.6,0,0.028,0.4,11.14,0.08,87.27,0.005,0.005,0.003,0.04,11,0.032,0.26,11,10,130,5,0.5,42,0,0.041,33.3,0.1,0
Cereal (General Mills Chex Corn),Cereal (General Mills Chex Corn),57132000,52,79,0,85,0,12.9,4.7,1223,0,16.1,6.4,431,1.39,12,11.1,1.2,2.5,0.6,1.29,0.4,2.4,323,0.143,26.1,26,129,197,719,12.1,440,4.8,1.61,19.4,0.25,0.1
Fruit juice,"Fruit juice, acai blend",95342000,46,5784,23,12.83,0,0,1.2,783,899,9.06,0.83,0,0.04,0,11.1,0.03,84.88,0,0,0,0.83,19,0.076,0.16,11,13,130,13,0.11,485,3.4,1.1,42.1,11.11,16.7
Oatmeal cereal with fruit,"Oatmeal cereal with fruit, baby food, dry, instant, toddler",57806200,12,41,13,74.1,0,31.6,7.8,32,0,9.6,10.5,0,0.86,20.5,11.09,0.75,5.4,3.008,2.29,1.572,7.05,286,0.34,14.3,107,429,346,0,5.7,4,0,0.38,2.7,2.48,7.5
Papaya,"Papaya, canned",63133100,1,175,375,13.1,0,4.6,1.3,57,1165,0.241,0.35,0,0.02,0.5,10.86,0.014,86.03,0.054,0.044,0.061,0.21,15,0.033,0.19,16,8,123,7,0.06,30,0,0.027,36.5,0.22,2
Apple juice,"Apple juice, baby food",67202000,0,8,6,11.7,0,1.8,0.1,16,0,0.083,0,0,0.016,0.1,10.7,0.007,88,0.002,0.031,0.018,0.1,4,0.04,0.57,3,5,91,8,0.03,1,0,0.029,57.9,0.6,0
Clementine,"Clementine, raw",61100600,101,155,407,13.34,0,10.2,1.8,138,0,0.376,0.81,0,0.036,0.1,10.58,0.058,85.17,0.06,0.065,0.039,0.31,37,0.042,0.15,12,20,166,2,0.07,34,0,0.078,26.7,0.2,0
Tangerine,"Tangerine, raw",61125010,101,155,407,13.34,0,10.2,1.8,138,0,0.376,0.81,0,0.036,0.1,10.58,0.058,85.17,0.06,0.065,0.039,0.31,37,0.042,0.15,12,20,166,2,0.07,34,0,0.078,26.7,0.2,0
Apple-fruit juice blend,"Apple-fruit juice blend, baby food",67203000,1,8,2,18.1,0,1.8,0.1,22,0,0.301,0.2,0,0.002,0.3,10.58,0.005,81.3,0.006,0.031,0.018,0.1,9,0.062,0.95,7,15,148,8,0.05,1,0,0.035,67.5,0.05,1.3
Apple-prune juice,"Apple-prune juice, baby food",67203700,1,8,2,18.1,0,1.8,0.1,22,0,0.301,0.2,0,0.002,0.3,10.58,0.005,81.3,0.006,0.031,0.018,0.1,9,0.062,0.95,7,15,148,8,0.05,1,0,0.035,67.5,0.05,1.3
Peanut butter,Peanut butter,42202000,0,0,0,22.3,0,63,4.8,0,0,13.3,22.5,0,0.191,4.1,10.5,0.138,1.18,25.4,12.3,10.1,51.1,49,0.42,1.73,169,339,564,429,2.54,0,0,0.444,0,9.11,0.3
Peanut butter,"Peanut butter, lower sodium",42202010,0,0,0,22.31,0,63,5,0,0,13.112,22.21,0,0.192,4.1,10.49,0.15,1.23,25.941,12.535,10.325,51.36,49,0.422,1.74,168,335,558,17,2.51,0,0,0.441,0,9.1,0.3
Apples,"Apples, baby food, toddler",67100300,0,11,2,11.56,0,3.4,1.9,5,0,0.087,0.19,0,0.017,0.3,10.48,0.04,87.68,0.004,0.03,0.02,0.36,4,0.031,0.08,4,8,86,2,0.02,1,0,0.041,64.5,0.22,0.6
Peanut butter,"Peanut butter, vitamin and mineral fortified",42202200,0,0,0,18.75,0,63.3,5.6,0,0,13.369,25.72,1172,0.105,7.5,10.47,0.083,1.47,24.832,13.847,10.125,50.81,43,1.64,16.6,355,368,667,420,14.4,1172,0,2.23,0,43.2,0.6
Cereal (General Mills Chex Wheat),Cereal (General Mills Chex Wheat),57411000,0,5,0,82.2,0,28.5,12.2,191,0,10.6,9.8,317,0.9,5,10.3,0.8,2.5,0.3,1,0.4,1.8,213,0.397,30.6,85,319,369,570,11.2,317,3.2,1.064,12.8,0.68,1.8
Energy drink (Red Bull),Energy drink (Red Bull),95310600,0,0,0,10.23,0,0.3,0,0,0,9.827,0.46,0,0.103,0.2,10.22,0.04,89.22,0,0,0,0,6,0.002,0.06,19,0,3,39,0.01,0,1.97,2.167,0,0,0
Energy Drink,Energy Drink,95311000,0,0,0,10.23,0,0.3,0,0,0,9.827,0.46,0,0.103,0.2,10.22,0.04,89.22,0,0,0,0,6,0.002,0.06,19,0,3,39,0.01,0,1.97,2.167,0,0,0
Korean dressing or marinade,Korean dressing or marinade,83208500,0,0,0,12.8,0,8.2,0.5,6,0,0.819,3.18,0,0.062,2.9,10.18,0.024,46.23,13.112,12.856,4.26,31.34,17,0.03,0.78,31,71,185,1845,0.4,0,0,0.07,0.1,3.54,35
Tangerine juice,"Tangerine juice, 100%",61213220,13,36,203,10.1,0,6.2,0.2,158,0,0.1,0.5,0,0.02,0.1,9.9,0.057,88.9,0.036,0.04,0.024,0.2,18,0.025,0.2,8,14,178,1,0.03,12,0,0.042,29.4,0.13,0
Cereal (Kellogg's Rice Krispies),Cereal (Kellogg's Rice Krispies),57339000,0,0,0,85.05,0,6,0.4,0,0,17.967,6.75,1136,1.29,19.6,9.87,1.77,5.06,0.593,0.626,0.458,2.05,5,0.186,30.42,27,125,125,527,1.39,1136,7.23,2.35,63.3,26.64,0
Steak sauce,Steak sauce,74406100,0,177,0,22.04,0,11.5,1.5,0,12564,0.913,1.25,0,0.054,0.8,9.82,0.034,71,0,0,0,0.23,19,0.189,1.37,17,33,312,1647,0.34,15,0,0.105,6.8,1.16,2.2
Cereal,"Cereal, corn puffs",57137000,52,80,0,82.82,0,15.3,8.8,1236,0,24.25,7.69,870,2,8.5,9.76,1.955,2.79,0.99,1.277,0.576,3.46,570,0.142,32,51,189,223,596,17.42,879,5.7,2.3,25.4,0.3,0.2
Cereal (General Mills Kix),Cereal (General Mills Kix),57303100,52,80,0,82.82,0,15.3,8.8,1236,0,24.25,7.69,870,2,8.5,9.76,1.955,2.79,0.99,1.277,0.576,3.46,570,0.142,32,51,189,223,596,17.42,879,5.7,2.3,25.4,0.3,0.2
Apple-peach juice,"Apple-peach juice, baby food",67203600,0,31,13,10.5,0,2.5,0.1,29,0,0.213,0.2,0,0.011,0.3,9.59,0.008,89,0.002,0.031,0.018,0.1,3,0.037,0.56,3,4,97,0,0.03,3,0,0.022,58.5,0.15,0.5
Cereal,"Cereal, corn flakes",57134000,54,83,0,84.1,0,8.7,3.3,339,0,17.9,7.5,481,1.52,8.3,9.5,1.34,3.76,0.067,0.196,0.116,0.4,5,0.198,28.9,39,102,168,729,1,490,5,1.79,21,0.12,0
Cereal (Kellogg's Corn Flakes),Cereal (Kellogg's Corn Flakes),57135000,54,83,0,84.1,0,8.7,3.3,339,0,17.9,7.5,481,1.52,8.3,9.5,1.34,3.76,0.067,0.196,0.116,0.4,5,0.198,28.9,39,102,168,729,1,490,5,1.79,21,0.12,0
Crackers,"Crackers, whole grain, sandwich, peanut butter filled",54328120,0,2,0,54.59,0,29.7,9.4,79,0,6.277,14.12,0,0.232,18.7,9.41,0.334,7.32,9.779,4.497,4.525,21.18,33,0.309,3.07,107,256,330,635,2.05,0,0,0.22,0,2.63,4.5
Tutti-fruitti pudding,"Tutti-fruitti pudding, baby food, junior",67415020,1,52,134,16,15,3.5,0.4,25,0,0.08,0.4,0,0.02,0.4,9.41,0.03,82.9,0.148,0.061,0.11,0.4,14,0.2,0.3,4,28,47,17,0.19,10,0.01,0.02,7.2,0.15,0.6
Kumquat,"Kumquat, raw",61110010,155,0,193,15.9,0,8.4,6.5,129,0,0.429,1.88,0,0.09,0,9.36,0.037,80.85,0.154,0.171,0.103,0.86,62,0.095,0.86,20,19,186,10,0.17,15,0,0.036,43.9,0.15,0
Orange,"Orange, raw",61119010,11,71,116,11.75,0,8.4,2.4,129,0,0.282,0.94,0,0.04,0.5,9.35,0.087,86.75,0.023,0.025,0.015,0.12,40,0.045,0.1,10,14,181,0,0.07,11,0,0.06,53.2,0.18,0
Peanut butter,"Peanut butter, reduced fat",42202150,0,0,0,35.65,0,63.4,5.2,0,0,14.6,25.9,0,0.06,7.5,9.28,0.27,1.2,16.156,9.182,5.76,34,35,0.58,1.9,170,369,669,540,2.8,0,0,0.31,0,9.04,0.6
Black bean sauce,Black bean sauce,41205100,0,0,0,17.36,0,17.3,2.6,0,0,1.224,6.28,0,0.099,0.6,9.26,0.078,52.04,1.878,4.808,1.323,8.45,27,0.074,1.26,55,118,307,5843,0.72,0,0,0.091,0,0.87,15.5
Cashew butter,Cashew butter,42201000,0,0,0,30.3,0,48.3,3,18,0,1.108,12.12,0,0.159,9.3,9.09,0.158,2.34,26.709,13.371,10.606,53.03,61,1.758,4.91,206,388,447,295,4.43,0,0,0.203,0,5.08,30.3
Beef jerky,Beef jerky,21602100,0,0,0,11,48,109.1,1.8,0,0,1.732,33.2,0,0.142,10.7,9,0.154,23.36,11.305,1.011,10.85,25.6,20,0.227,5.42,51,407,597,1785,8.11,0,0.99,0.179,0,0.49,2.3
Pork jerky,Pork jerky,22002800,0,0,0,11,48,109.1,1.8,0,0,1.732,33.2,0,0.142,10.7,9,0.154,23.36,11.305,1.011,10.85,25.6,20,0.227,5.42,51,407,597,1785,8.11,0,0.99,0.179,0,0.49,2.3
Kiwi fruit,"Kiwi fruit, raw",63126500,0,52,0,14,0,7.8,3,122,0,0.37,1.06,0,0.025,0.2,8.99,0.027,83.9,0.047,0.287,0.029,0.44,35,0.134,0.24,16,34,198,5,0.14,4,0,0.061,74.7,1.3,40.3
Horseradish sauce,Horseradish sauce,81302060,2,4,2,10.05,50,38.4,1,51,0,0.115,1.09,17,0.045,2.2,8.98,0.05,35.83,13.087,29.169,8.233,50.89,12,0.018,0.23,6,19,44,730,0.17,17,0.09,0.037,0.2,4.19,91.3
Guava,"Guava, raw",63125010,0,374,0,14.32,0,7.6,5.4,0,5204,1.084,2.55,0,0.04,0.6,8.92,0.067,80.8,0.087,0.401,0.272,0.95,18,0.23,0.26,22,40,417,2,0.23,31,0,0.11,228.3,0.73,2.6
Orange,"Orange, canned, juice pack",61122320,133,193,503,9.57,0,8.9,0.7,163,0,0.445,0.62,0,0.029,0.4,8.87,0.082,89.51,0.005,0.005,0.003,0.03,11,0.033,0.27,11,10,133,5,0.51,43,0,0.042,34.2,0.1,0
Cereal (Post Grape-Nuts),Cereal (Post Grape-Nuts),57230000,0,2,0,80.49,0,31.9,13,166,0,8.62,11.22,0,0.12,9.1,8.86,0.65,3.5,0.21,0.78,0.34,1.81,32,0.34,28,124,467,400,465,2.07,0,0,0.86,0.1,0.62,2
Empanada,"Empanada,  Mexican turnover, pumpkin",53453170,1478,2139,0,41.7,0,7.3,2.1,7,0,2.295,4.57,0,0.198,14.1,8.78,0.249,40.36,4.637,3.305,2.894,11.63,67,0.098,2.49,17,72,119,401,0.35,240,0,0.037,1.2,1.04,11.1
Sweet potato chips,Sweet potato chips,73410210,0,14134,0,56.54,0,36.4,8.8,0,0,2.078,2.92,0,0.16,2.1,8.78,0.088,4.49,9.109,12.163,2.926,32.19,59,0.41,2.11,65,144,920,227,0.53,1178,0,0.532,0,9.77,24.4
Cream,"Cream, whipped",12140000,0,68,0,8.59,106,15.8,0,0,0,0.06,2.67,381,0.178,2.9,8.55,0.019,54.3,8.561,1.477,21.666,33.94,62,0.011,0.1,7,55,89,26,0.23,387,0.15,0.033,0.6,0.86,3
Fish moochim,Fish moochim,27150250,0,4,0,10.18,86,168.9,0.8,3,0,4.87,37.83,24,0.171,85,8.48,0.186,22.04,6.162,6.77,2.431,16.51,102,0.174,2,103,594,926,4950,1.33,24,5.65,0.533,2,1.86,3.1
Mixed fruit juice,"Mixed fruit juice, not citrus, baby food",67204000,11,19,1,11.7,0,3.5,0.1,21,0,0.123,0.1,0,0.014,0.5,8.46,0.023,87.9,0.006,0.039,0.015,0.1,8,0.04,0.34,5,5,101,8,0.03,2,0,0.043,63.6,0.04,0.9
Peanut butter,"Peanut butter, lower sodium and lower sugar",42202100,0,0,0,18.27,0,65.2,6.4,0,0,14.748,23.5,0,0.157,6.6,8.42,0.133,1.58,26.469,14.4,10.272,53.12,60,0.591,2.29,166,342,688,154,3.01,0,0,0.456,0,8.58,0.4
Orange juice,"Orange juice, 100%,  freshly squeezed",61210010,6,33,169,10.4,0,6.2,0.2,115,0,0.4,0.7,0,0.03,0.1,8.4,0.09,88.3,0.036,0.04,0.024,0.2,11,0.044,0.2,11,17,200,1,0.05,10,0,0.04,50,0.04,0.1
Orange-carrot juice,"Orange-carrot juice, baby food",67230500,395,863,135,9.9,0,6.5,0.4,135,0,0.21,0.5,0,0.05,0.1,8.4,0.06,89.1,0.01,0.03,0.01,0.1,16,0.044,0.2,10,19,174,10,0.07,94,0,0.05,34.1,0.29,1.5
Turnover,"Turnover, pumpkin",53451750,1657,2402,1,25.5,39,31.7,1.6,44,0,1.261,5.56,32,0.239,10.1,8.35,0.149,53.48,5.55,3.398,4.48,14.36,98,0.08,1.69,21,112,201,140,0.55,301,0.08,0.053,1.6,1.2,12
Sesame dressing,Sesame dressing,83112990,0,21,2,8.6,0,4,1,0,16,0,3.1,0,0,1.6,8.32,0,39.2,11.9,25.1,6.2,45.2,19,0,0.6,0,37,157,1000,0.1,2,0,0,0,5,56
Orange juice,"Orange juice, baby food",67205000,2,9,47,10.2,0,6.2,0.1,113,0,0.239,0.6,0,0.028,0.1,8.26,0.045,88.5,0.05,0.06,0.035,0.3,12,0.046,0.17,9,11,184,0,0.06,3,0,0.054,62.5,0.04,0.1
Muffin,"Muffin, oat bran",52304150,0,0,0,48.3,0,6.6,4.6,13,0,0.42,7,0,0.095,11,8.22,0.262,35,1.695,4.129,1.087,7.4,63,0.33,4.2,157,376,507,393,1.84,0,0.01,0.161,0,0.66,13
Cheese,"Cheese, American, reduced fat",14410120,0,80,0,10.6,53,36.2,0,0,0,0.18,17.6,243,0.48,12.4,8.02,0.07,51.8,4.13,0.41,8.85,14.1,529,0.03,0.2,33,829,330,1201,2.36,250,1.11,0.08,0,0.27,2.6
Cereal (General Mills Chex Rice),Cereal (General Mills Chex Rice),57336000,0,0,0,85.09,0,17.5,2,0,0,18.5,6.4,556,1.6,19.6,8,1.39,2.59,0.6,0.69,0.5,1.89,370,0.26,33.29,30,148,188,809,13.89,556,5.59,1.85,22.2,0.35,1
Papaya,"Papaya, raw",63133010,2,274,589,10.82,0,6.1,1.7,89,1828,0.357,0.47,0,0.027,0.6,7.82,0.023,88.06,0.072,0.058,0.081,0.26,20,0.045,0.25,21,10,182,8,0.08,47,0,0.038,60.9,0.3,2.6
Wheat germ,"Wheat germ, plain",57412000,0,62,0,49.6,0,178.6,15.1,790,0,5.59,29.1,0,0.82,65,7.8,1.67,5.6,1.5,6.62,1.83,10.7,45,0.62,9.09,320,1146,947,4,16.67,5,0,0.978,6,15.99,4
Coffee creamer,"Coffee creamer, powder",12210400,0,0,0,59.29,0,2.3,0,0,0,0,2.48,0,0,0,7.77,0,2.98,9.796,0.408,19.146,32.92,2,0.018,0.26,1,288,669,124,0.07,0,0,0,0,1.26,1.7
Coffee creamer,"Coffee creamer,powder, sugar free, flavored",12210505,0,0,0,59.29,0,2.3,0,0,0,0,2.48,0,0,0,7.77,0,2.98,9.796,0.408,19.146,32.92,2,0.018,0.26,1,288,669,124,0.07,0,0,0,0,1.26,1.7
Pistachio nuts,"Pistachio nuts, NFS",42114130,0,159,0,28.28,0,71.4,10.3,1160,0,1.373,21.05,0,0.234,10,7.74,0.695,1.85,24.534,13.346,5.645,45.82,107,1.293,4.03,109,469,1007,6,2.34,13,0,1.122,3,2.17,13.2
Vodka and energy drink,Vodka and energy drink,93301216,0,0,0,7.7,0,0.2,0,0,0,7.395,0.35,0,0.078,0.2,7.69,0.032,83.62,0,0,0,0,5,0.007,0.06,14,1,3,30,0.02,0,1.48,1.63,0,0,0
Sweet potato,"Sweet potato, casserole or mashed",73409000,0,7359,0,16.96,7,12.1,1.9,0,0,0.44,1.68,18,0.075,0.8,7.61,0.049,78.1,0.646,0.155,1.393,2.36,42,0.075,0.57,16,43,205,153,0.23,632,0.04,0.138,10.1,0.78,1.9
Pistachio nuts,"Pistachio nuts, unsalted",42114145,0,154,0,27.43,0,69.3,10,1125,0,1.332,20.42,0,0.227,9.7,7.51,0.674,1.79,25.054,14.181,5.886,47.44,104,1.254,3.91,106,455,977,6,2.27,13,0,1.088,2.9,2.46,16.3
Pistachio nuts,"Pistachio nuts, lightly salted",42114142,0,153,0,27.3,0,68.9,9.9,1120,0,1.325,20.32,0,0.226,9.7,7.47,0.671,1.79,24.93,14.111,5.857,47.21,104,1.248,3.9,105,453,972,198,2.26,13,0,1.083,2.9,2.44,16.3
Pistachio nuts,"Pistachio nuts, salted",42114140,0,153,0,27.16,0,68.6,9.9,1114,0,1.319,20.22,0,0.225,9.6,7.43,0.667,1.78,24.806,14.041,5.828,46.98,103,1.242,3.88,105,450,967,389,2.25,12,0,1.078,2.9,2.43,16.2
Peppers,"Peppers, pickled",75511020,16,554,139,9.11,0,4.6,1.5,189,0,0.516,0.75,0,0.039,0.1,7.38,0.042,86.88,0.007,0.079,0.048,0.19,9,0.042,0.31,9,19,156,947,0.14,53,0,0.184,68.3,0.66,5.4
Cheese spread,"Cheese spread, American or Cheddar cheese base",14420100,0,55,0,8.73,55,36.2,0,0,0,0.131,16.41,168,0.431,11.3,7.32,0.048,47.65,6.219,0.624,13.327,21.23,562,0.033,0.33,29,875,242,1625,2.59,173,0.4,0.117,0,0.19,1.8
Cheese spread,"Cheese spread, Swiss cheese base",14420160,0,55,0,8.73,55,36.2,0,0,0,0.131,16.41,168,0.431,11.3,7.32,0.048,47.65,6.219,0.624,13.327,21.23,562,0.033,0.33,29,875,242,1625,2.59,173,0.4,0.117,0,0.19,1.8
Cheese spread,"Cheese spread, pressurized can",14420300,0,55,0,8.73,55,36.2,0,0,0,0.131,16.41,168,0.431,11.3,7.32,0.048,47.65,6.219,0.624,13.327,21.23,562,0.033,0.33,29,875,242,1625,2.59,173,0.4,0.117,0,0.19,1.8
Cheese spread,"Cheese spread, American or Cheddar cheese base, reduced fat",14410330,0,27,1,10.71,38,42.6,0,11,0,0.153,13.41,183,0.442,15.5,7.06,0.038,61.82,2.458,0.415,5.647,8.88,557,0.032,0.36,27,931,250,1102,1.81,185,1.17,0.099,0,0.46,0
Vegetable chips,Vegetable chips,71220000,0,620,20,59.2,0,29.5,7.8,0,3624,2.268,4.72,0,0.095,2.1,6.9,0.18,5.42,14.988,6.766,1.824,26.56,66,0.332,1.6,70,164,1052,329,0.82,53,0,0.538,8.5,6.5,31
Mixed cereal with bananas,"Mixed cereal with bananas, baby food, dry, instant",57806000,49,51,0,77.1,0,28.6,7.8,96,0,20.56,10.7,0,3.56,20,6.68,3.78,4.5,1.223,1.734,0.846,4.6,696,0.256,47.5,90,367,668,0,1.4,6,0.24,0.408,3.6,0.51,3.5
Beef sloppy joe,"Beef sloppy joe, no bun",27111500,0,153,1,9.14,34,37.1,0.8,57,6287,2.553,10.61,1,0.125,8.9,6.67,0.035,71.5,2.932,0.251,2.516,6.65,26,0.095,1.5,18,94,317,580,2.53,14,1.04,0.213,3.8,0.8,4.4
Avocado dressing,Avocado dressing,83112000,1,3,1,7.36,40,3.6,0.1,39,0,0.14,1.9,10,0.05,1.6,6.67,0.02,45.03,9.423,23.165,5.978,43.33,34,0.01,0.35,7,31,58,867,0.25,10,0.26,0.01,0.2,4.6,96.7
Sour cream,"Sour cream, imitation",12320100,0,0,0,6.63,0,0,0,0,0,0,2.4,0,0,2.5,6.63,0,71.15,0.588,0.056,17.791,19.52,3,0.058,0.39,6,45,161,102,1.18,0,0,0,0,0.74,4.8
Tomato soup,"Tomato soup, cream of, prepared with milk",74601010,0,119,0,10.05,4,14.1,0.6,45,5460,0.484,2.4,29,0.076,2.5,6.56,0.047,84.91,0.281,0.111,0.64,1.22,69,0.025,0.3,13,67,359,208,0.3,39,0.22,0.07,6.5,0.19,1.7
Soup,"Soup, cream of, NFS",75600150,0,119,0,10.05,4,15.4,0.6,45,5460,0.484,2.4,29,0.076,2.5,6.56,0.05,84.91,0.281,0.111,0.64,1.22,69,0.025,0.3,13,67,359,208,0.3,39,0.28,0.073,6.5,0.19,1.7
Pancakes,"Pancakes, pumpkin",55103020,955,1392,1,30.94,50,39.7,2.3,82,0,1.238,6.39,60,0.23,8.7,6.53,0.192,50.28,3.6,3.095,2.581,9.95,177,0.068,1.49,21,280,187,426,0.64,216,0.31,0.135,0.9,1.34,11.2
Broccoli slaw salad,Broccoli slaw salad,75140510,320,956,1,10.59,9,16.3,2,932,0,0.514,2.13,4,0.094,2.7,6.51,0.061,77.79,1.707,4.487,1.293,8.12,36,0.041,0.58,16,56,245,291,0.33,97,0.02,0.131,58.1,1.26,81.3
Tomato soup,"Tomato soup, canned, reduced sodium, prepared with milk",74602300,0,119,0,9.14,4,14.5,0.6,45,5460,0.571,2.47,29,0.1,3.5,6.5,0.045,85.77,0.302,0.127,0.66,1.28,69,0.08,0.56,13,66,193,30,0.34,39,0.22,0.07,6.5,0.19,1.7
